model,pr_auc,roc_auc,f1,precision_at_100,recall_at_precision_09,threshold
logistic_regression,0.7320729336064471,0.9846680371642185,0.8247422680412371,0.42,0.7551020408163265,0.9999881618297264
logistic_regression,0.8216204887300952,0.9816217426756859,0.8484848484848485,0.44,0.8571428571428571,0.9999766706169795
logistic_regression,0.810821973289199,0.9835999678430742,0.8045977011494253,0.45,0.7959183673469388,0.9999998825990124
logistic_regression,0.8256000910750741,0.9841706097182823,0.8666666666666667,0.43,0.7959183673469388,0.9999495583651639
logistic_regression,0.6689423416843965,0.9701636844946195,0.7741935483870968,0.4,0.0,0.9999992022850999
xgboost,0.8662013124213033,0.9853090223146096,0.8631578947368421,0.43,0.8367346938775511,0.5806030631065369
xgboost,0.8834060472487048,0.9865149070320307,0.8775510204081632,0.45,0.8571428571428571,0.9395126700401306
xgboost,0.8907550739394741,0.9763452792484466,0.8666666666666667,0.44,0.8571428571428571,0.9958693385124207
xgboost,0.8437513570980454,0.9835949433234183,0.8695652173913043,0.41,0.8163265306122449,0.7470609545707703
xgboost,0.7915081292049977,0.9705340633721131,0.7954545454545454,0.4,0.6938775510204082,0.9974719882011414
isolation_forest,0.4030076860004177,0.9538806518668244,0.42105263157894735,0.28,0.14285714285714285,0.5326049212937389
isolation_forest,0.3726794265319764,0.9644170695852905,0.391304347826087,0.28,0.02040816326530612,0.5346614671433498
isolation_forest,0.4005637532947341,0.9774714894398953,0.4,0.28,0.061224489795918366,0.5395422736724095
isolation_forest,0.39760779695003057,0.9504998679269119,0.4423076923076923,0.31,0.061224489795918366,0.5453913476964785
isolation_forest,0.3721170439936537,0.940476669001872,0.3448275862068966,0.28,0.12244897959183673,0.5966413681187883
lof,0.46002528944091015,0.9600471730616837,0.5409836065573771,0.37,0.061224489795918366,1.2474815845489502
lof,0.5803619063590522,0.9757688950650604,0.6379310344827587,0.42,0.02040816326530612,1.6612749099731445
lof,0.5316623808371177,0.9646273816223169,0.6194690265486725,0.38,0.0,1.3172390460968018
lof,0.6200499086455493,0.9606486798433499,0.6213592233009708,0.39,0.22448979591836735,1.3966176509857178
lof,0.4043699958199756,0.9240673055941566,0.5102040816326531,0.31,0.061224489795918366,1.6026818752288818
one_class_svm,0.29729483562398,0.9429580639233746,0.41509433962264153,0.3,0.0,56.49883648610933
one_class_svm,0.2853991002888379,0.9589234751300633,0.3972602739726027,0.29,0.0,56.636214177411055
one_class_svm,0.3275568059274024,0.9831283807839399,0.3673469387755102,0.31,0.0,58.68710569150134
one_class_svm,0.32153920145193826,0.9437519380290103,0.5,0.33,0.02040816326530612,56.50813066144119
one_class_svm,0.2791707250643124,0.9136213292294971,0.45528455284552843,0.31,0.02040816326530612,57.251611358927946
autoencoder,0.5384826259251223,0.965506672562103,0.5652173913043478,0.35,0.1836734693877551,4.903429985046387
autoencoder,0.32931950248098835,0.9561675260987905,0.42,0.24,0.061224489795918366,3.7216849327087402
autoencoder,0.24824808529658624,0.9553880077636007,0.26229508196721313,0.21,0.08163265306122448,3.0822911262512207
autoencoder,0.5204158189555294,0.9568544497146073,0.5686274509803921,0.34,0.24489795918367346,4.259018421173096
autoencoder,0.35717772124028135,0.9412604940681957,0.3652173913043478,0.26,0.02040816326530612,3.7408926486968994
vae,0.5146423021062387,0.9450224237134359,0.5617977528089888,0.34,0.061224489795918366,2.800816535949707
vae,0.3117551896971691,0.9687977329367313,0.34328358208955223,0.26,0.10204081632653061,1.515618920326233
vae,0.29494842301441454,0.955464811135484,0.35555555555555557,0.25,0.04081632653061224,2.1127026081085205
vae,0.45133712426284467,0.9422646802108575,0.5252525252525253,0.3,0.10204081632653061,1.8754595518112183
vae,0.44342917305904517,0.9470401272495492,0.4772727272727273,0.3,0.1836734693877551,2.9730615615844727
deep_svdd,0.45245798214875904,0.9138732730008154,0.5106382978723404,0.27,0.24489795918367346,2.8434074920369312e-05
deep_svdd,0.6903151429454222,0.9060238966154834,0.7333333333333333,0.36,0.6530612244897959,0.0013992690946906805
deep_svdd,0.3190215045508119,0.8059666888702584,0.38095238095238093,0.19,0.14285714285714285,0.0003403357695788145
deep_svdd,0.7294199924810066,0.9095259868156603,0.7777777777777778,0.39,0.6938775510204082,0.0045063309371471405
deep_svdd,0.23055059013145027,0.7700083550583992,0.3076923076923077,0.22,0.0,0.00283889751881361
