model,fraud_fraction,pr_auc_mean,pr_auc_std
logistic_regression,0.0,,
logistic_regression,0.1,0.6825004706681064,0.11021039892792986
logistic_regression,0.25,0.734018525697147,0.06807104695407448
logistic_regression,0.5,0.7570517917237963,0.04998395967549033
logistic_regression,1.0,0.7718115656770423,0.06173683228990219
xgboost,0.0,,
xgboost,0.1,0.8007340375924796,0.04003938768748434
xgboost,0.25,0.82325940842056,0.05203076206990247
xgboost,0.5,0.8029949972089762,0.0906449498364457
xgboost,1.0,0.8551243839825051,0.03568885120028939
isolation_forest,0.0,0.3891951413541625,0.01382197342478697
isolation_forest,0.1,0.3891951413541625,0.01382197342478697
isolation_forest,0.25,0.3891951413541625,0.01382197342478697
isolation_forest,0.5,0.3891951413541625,0.01382197342478697
isolation_forest,1.0,0.3891951413541625,0.01382197342478697
lof,0.0,0.519293896220521,0.07842745175849308
lof,0.1,0.519293896220521,0.07842745175849308
lof,0.25,0.519293896220521,0.07842745175849308
lof,0.5,0.519293896220521,0.07842745175849308
lof,1.0,0.519293896220521,0.07842745175849308
one_class_svm,0.0,0.30219213367129416,0.019254352146809584
one_class_svm,0.1,0.30219213367129416,0.019254352146809584
one_class_svm,0.25,0.30219213367129416,0.019254352146809584
one_class_svm,0.5,0.30219213367129416,0.019254352146809584
one_class_svm,1.0,0.30219213367129416,0.019254352146809584
autoencoder,0.0,0.39872875077970155,0.11271863259356002
autoencoder,0.1,0.39872875077970155,0.11271863259356002
autoencoder,0.25,0.39872875077970155,0.11271863259356002
autoencoder,0.5,0.39872875077970155,0.11271863259356002
autoencoder,1.0,0.39872875077970155,0.11271863259356002
vae,0.0,0.40322244242794253,0.08536452486709377
vae,0.1,0.40322244242794253,0.08536452486709377
vae,0.25,0.40322244242794253,0.08536452486709377
vae,0.5,0.40322244242794253,0.08536452486709377
vae,1.0,0.40322244242794253,0.08536452486709377
deep_svdd,0.0,0.4843530424514901,0.19760854937812103
deep_svdd,0.1,0.4843530424514901,0.19760854937812103
deep_svdd,0.25,0.4843530424514901,0.19760854937812103
deep_svdd,0.5,0.4843530424514901,0.19760854937812103
deep_svdd,1.0,0.4843530424514901,0.19760854937812103
